,idx,sentence,prefixes,aann,default_nan,order_swap,no_article,no_modifier,no_numeral
851,852,The diplomat worked an extra twenty weeks in Nairobi.,The diplomat worked,an extra twenty weeks,twenty extra weeks,extra twenty a weeks,twenty extra weeks,twenty a weeks,extra a weeks
852,853,The diplomat worked an extra twenty months in Nairobi.,The diplomat worked,an extra twenty months,twenty extra months,extra twenty a months,twenty extra months,twenty a months,extra a months
853,854,The diplomat worked an extra twenty years in Nairobi.,The diplomat worked,an extra twenty years,twenty extra years,extra twenty a years,twenty extra years,twenty a years,extra a years
854,855,The diplomat worked an extra twenty hours in Nairobi.,The diplomat worked,an extra twenty hours,twenty extra hours,extra twenty an hours,twenty extra hours,twenty an hours,extra an hours
855,856,The diplomat worked a measly three days in Nairobi.,The diplomat worked,a measly three days,three measly days,measly three a days,three measly days,three a days,measly a days
856,857,The diplomat worked a measly three weeks in Nairobi.,The diplomat worked,a measly three weeks,three measly weeks,measly three a weeks,three measly weeks,three a weeks,measly a weeks
857,858,The diplomat worked a measly three months in Nairobi.,The diplomat worked,a measly three months,three measly months,measly three a months,three measly months,three a months,measly a months
858,859,The diplomat worked a measly three years in Nairobi.,The diplomat worked,a measly three years,three measly years,measly three a years,three measly years,three a years,measly a years
859,860,The diplomat worked a measly three hours in Nairobi.,The diplomat worked,a measly three hours,three measly hours,measly three an hours,three measly hours,three an hours,measly an hours
860,861,The diplomat worked a measly five days in Nairobi.,The diplomat worked,a measly five days,five measly days,measly five a days,five measly days,five a days,measly a days
861,862,The diplomat worked a measly five weeks in Nairobi.,The diplomat worked,a measly five weeks,five measly weeks,measly five a weeks,five measly weeks,five a weeks,measly a weeks
862,863,The diplomat worked a measly five months in Nairobi.,The diplomat worked,a measly five months,five measly months,measly five a months,five measly months,five a months,measly a months
863,864,The diplomat worked a measly five years in Nairobi.,The diplomat worked,a measly five years,five measly years,measly five a years,five measly years,five a years,measly a years
864,865,The diplomat worked a measly five hours in Nairobi.,The diplomat worked,a measly five hours,five measly hours,measly five an hours,five measly hours,five an hours,measly an hours
865,866,The diplomat worked a measly twenty days in Nairobi.,The diplomat worked,a measly twenty days,twenty measly days,measly twenty a days,twenty measly days,twenty a days,measly a days
866,867,The diplomat worked a measly twenty weeks in Nairobi.,The diplomat worked,a measly twenty weeks,twenty measly weeks,measly twenty a weeks,twenty measly weeks,twenty a weeks,measly a weeks
867,868,The diplomat worked a measly twenty months in Nairobi.,The diplomat worked,a measly twenty months,twenty measly months,measly twenty a months,twenty measly months,twenty a months,measly a months
868,869,The diplomat worked a measly twenty years in Nairobi.,The diplomat worked,a measly twenty years,twenty measly years,measly twenty a years,twenty measly years,twenty a years,measly a years
869,870,The diplomat worked a measly twenty hours in Nairobi.,The diplomat worked,a measly twenty hours,twenty measly hours,measly twenty an hours,twenty measly hours,twenty an hours,measly an hours
870,871,The diplomat worked a substantial three days in Nairobi.,The diplomat worked,a substantial three days,three substantial days,substantial three a days,three substantial days,three a days,substantial a days
871,872,The diplomat worked a substantial three weeks in Nairobi.,The diplomat worked,a substantial three weeks,three substantial weeks,substantial three a weeks,three substantial weeks,three a weeks,substantial a weeks
872,873,The diplomat worked a substantial three months in Nairobi.,The diplomat worked,a substantial three months,three substantial months,substantial three a months,three substantial months,three a months,substantial a months
873,874,The diplomat worked a substantial three years in Nairobi.,The diplomat worked,a substantial three years,three substantial years,substantial three a years,three substantial years,three a years,substantial a years
874,875,The diplomat worked a substantial three hours in Nairobi.,The diplomat worked,a substantial three hours,three substantial hours,substantial three an hours,three substantial hours,three an hours,substantial an hours
875,876,The diplomat worked a substantial five days in Nairobi.,The diplomat worked,a substantial five days,five substantial days,substantial five a days,five substantial days,five a days,substantial a days
876,877,The diplomat worked a substantial five weeks in Nairobi.,The diplomat worked,a substantial five weeks,five substantial weeks,substantial five a weeks,five substantial weeks,five a weeks,substantial a weeks
877,878,The diplomat worked a substantial five months in Nairobi.,The diplomat worked,a substantial five months,five substantial months,substantial five a months,five substantial months,five a months,substantial a months
878,879,The diplomat worked a substantial five years in Nairobi.,The diplomat worked,a substantial five years,five substantial years,substantial five a years,five substantial years,five a years,substantial a years
879,880,The diplomat worked a substantial five hours in Nairobi.,The diplomat worked,a substantial five hours,five substantial hours,substantial five an hours,five substantial hours,five an hours,substantial an hours
880,881,The diplomat worked a substantial twenty days in Nairobi.,The diplomat worked,a substantial twenty days,twenty substantial days,substantial twenty a days,twenty substantial days,twenty a days,substantial a days
881,882,The diplomat worked a substantial twenty weeks in Nairobi.,The diplomat worked,a substantial twenty weeks,twenty substantial weeks,substantial twenty a weeks,twenty substantial weeks,twenty a weeks,substantial a weeks
882,883,The diplomat worked a substantial twenty months in Nairobi.,The diplomat worked,a substantial twenty months,twenty substantial months,substantial twenty a months,twenty substantial months,twenty a months,substantial a months
883,884,The diplomat worked a substantial twenty years in Nairobi.,The diplomat worked,a substantial twenty years,twenty substantial years,substantial twenty a years,twenty substantial years,twenty a years,substantial a years
884,885,The diplomat worked a substantial twenty hours in Nairobi.,The diplomat worked,a substantial twenty hours,twenty substantial hours,substantial twenty an hours,twenty substantial hours,twenty an hours,substantial an hours
885,886,The diplomat worked a record-setting three days in Nairobi.,The diplomat worked,a record-setting three days,three record-setting days,record-setting three a days,three record-setting days,three a days,record-setting a days
886,887,The diplomat worked a record-setting three weeks in Nairobi.,The diplomat worked,a record-setting three weeks,three record-setting weeks,record-setting three a weeks,three record-setting weeks,three a weeks,record-setting a weeks
887,888,The diplomat worked a record-setting three months in Nairobi.,The diplomat worked,a record-setting three months,three record-setting months,record-setting three a months,three record-setting months,three a months,record-setting a months
888,889,The diplomat worked a record-setting three years in Nairobi.,The diplomat worked,a record-setting three years,three record-setting years,record-setting three a years,three record-setting years,three a years,record-setting a years
889,890,The diplomat worked a record-setting three hours in Nairobi.,The diplomat worked,a record-setting three hours,three record-setting hours,record-setting three an hours,three record-setting hours,three an hours,record-setting an hours
890,891,The diplomat worked a record-setting five days in Nairobi.,The diplomat worked,a record-setting five days,five record-setting days,record-setting five a days,five record-setting days,five a days,record-setting a days
891,892,The diplomat worked a record-setting five weeks in Nairobi.,The diplomat worked,a record-setting five weeks,five record-setting weeks,record-setting five a weeks,five record-setting weeks,five a weeks,record-setting a weeks
892,893,The diplomat worked a record-setting five months in Nairobi.,The diplomat worked,a record-setting five months,five record-setting months,record-setting five a months,five record-setting months,five a months,record-setting a months
893,894,The diplomat worked a record-setting five years in Nairobi.,The diplomat worked,a record-setting five years,five record-setting years,record-setting five a years,five record-setting years,five a years,record-setting a years
894,895,The diplomat worked a record-setting five hours in Nairobi.,The diplomat worked,a record-setting five hours,five record-setting hours,record-setting five an hours,five record-setting hours,five an hours,record-setting an hours
895,896,The diplomat worked a record-setting twenty days in Nairobi.,The diplomat worked,a record-setting twenty days,twenty record-setting days,record-setting twenty a days,twenty record-setting days,twenty a days,record-setting a days
