idx,sentence,prefix,construction,default_nan,order_swap,no_article,no_modifier,no_numeral
484,The diplomat worked an impressive three years in Nairobi.,The diplomat worked,three impressive a years,three impressive years,impressive three a years,three impressive years,three a years,impressive a years
485,The diplomat worked an impressive three hours in Nairobi.,The diplomat worked,three impressive an hours,three impressive hours,impressive three an hours,three impressive hours,three an hours,impressive an hours
486,The diplomat worked an impressive five days in Nairobi.,The diplomat worked,five impressive a days,five impressive days,impressive five a days,five impressive days,five a days,impressive a days
487,The diplomat worked an impressive five weeks in Nairobi.,The diplomat worked,five impressive a weeks,five impressive weeks,impressive five a weeks,five impressive weeks,five a weeks,impressive a weeks
488,The diplomat worked an impressive five months in Nairobi.,The diplomat worked,five impressive a months,five impressive months,impressive five a months,five impressive months,five a months,impressive a months
489,The diplomat worked an impressive five years in Nairobi.,The diplomat worked,five impressive a years,five impressive years,impressive five a years,five impressive years,five a years,impressive a years
490,The diplomat worked an impressive five hours in Nairobi.,The diplomat worked,five impressive an hours,five impressive hours,impressive five an hours,five impressive hours,five an hours,impressive an hours
491,The diplomat worked an impressive twenty days in Nairobi.,The diplomat worked,twenty impressive a days,twenty impressive days,impressive twenty a days,twenty impressive days,twenty a days,impressive a days
492,The diplomat worked an impressive twenty weeks in Nairobi.,The diplomat worked,twenty impressive a weeks,twenty impressive weeks,impressive twenty a weeks,twenty impressive weeks,twenty a weeks,impressive a weeks
493,The diplomat worked an impressive twenty months in Nairobi.,The diplomat worked,twenty impressive a months,twenty impressive months,impressive twenty a months,twenty impressive months,twenty a months,impressive a months
494,The diplomat worked an impressive twenty years in Nairobi.,The diplomat worked,twenty impressive a years,twenty impressive years,impressive twenty a years,twenty impressive years,twenty a years,impressive a years
495,The diplomat worked an impressive twenty hours in Nairobi.,The diplomat worked,twenty impressive an hours,twenty impressive hours,impressive twenty an hours,twenty impressive hours,twenty an hours,impressive an hours
496,The diplomat worked a disappointing three days in Nairobi.,The diplomat worked,three disappointing a days,three disappointing days,disappointing three a days,three disappointing days,three a days,disappointing a days
497,The diplomat worked a disappointing three weeks in Nairobi.,The diplomat worked,three disappointing a weeks,three disappointing weeks,disappointing three a weeks,three disappointing weeks,three a weeks,disappointing a weeks
498,The diplomat worked a disappointing three months in Nairobi.,The diplomat worked,three disappointing a months,three disappointing months,disappointing three a months,three disappointing months,three a months,disappointing a months
499,The diplomat worked a disappointing three years in Nairobi.,The diplomat worked,three disappointing a years,three disappointing years,disappointing three a years,three disappointing years,three a years,disappointing a years
500,The diplomat worked a disappointing three hours in Nairobi.,The diplomat worked,three disappointing an hours,three disappointing hours,disappointing three an hours,three disappointing hours,three an hours,disappointing an hours
501,The diplomat worked a disappointing five days in Nairobi.,The diplomat worked,five disappointing a days,five disappointing days,disappointing five a days,five disappointing days,five a days,disappointing a days
502,The diplomat worked a disappointing five weeks in Nairobi.,The diplomat worked,five disappointing a weeks,five disappointing weeks,disappointing five a weeks,five disappointing weeks,five a weeks,disappointing a weeks
503,The diplomat worked a disappointing five months in Nairobi.,The diplomat worked,five disappointing a months,five disappointing months,disappointing five a months,five disappointing months,five a months,disappointing a months
504,The diplomat worked a disappointing five years in Nairobi.,The diplomat worked,five disappointing a years,five disappointing years,disappointing five a years,five disappointing years,five a years,disappointing a years
505,The diplomat worked a disappointing five hours in Nairobi.,The diplomat worked,five disappointing an hours,five disappointing hours,disappointing five an hours,five disappointing hours,five an hours,disappointing an hours
