idx,construction,corrupted_construction,corrupted_sentence
6633,a few hundred years,a hundred years,"And as since the time that I commanded judges ( Which , of course , was a hundred years previous to this . )"
6634,an extra thirty days,an thirty days,That 's an thirty days .
6635,an extra 75 days,an 75 days,"So we 've got an 75 days in Daniel 12 that leads up to the resurrection of the Old Testament saints , which is in verse 13 . )"
6636,a second Hundred Years,a Hundred Years,Was the world facing a Hundred Years War ?
6637,a good ten seconds,a ten seconds,"Give him his due , he persevered for a ten seconds before he raised his arms in surrender ."
6638,a steady seven miles,a seven miles,"I snagged a free treadmill and cranked it up to a seven miles an hour , stuck my earphones in and switched off from the world ."
6639,a good six inches,a six inches,"Noah was eighteen , the same build as Adam , but looked nothing like him ; Lily was the image of him , though a six inches shorter ."
6640,a good five minutes,a five minutes,It took me a five minutes to sort them out and count them while they looked on .
6641,a good twenty feet,a twenty feet,"She is a twenty feet away , but I 'm not sure how skilled she is with that spear . """
6642,a full eight hours,a eight hours,"I 'm so tired , all I want is to curl up with a hot drink and sleep for a eight hours . """
6643,a good five minutes,a five minutes,"They sat there quietly for a five minutes , contemplating what they were planning ."
6644,a few hundred dollars,a hundred dollars,"Also floating to the top were some bills adding up to a hundred dollars , enough for Lefty to get out of town ."
6645,a good fifteen minutes,a fifteen minutes,It was a fifteen minutes before O'Malley was able to compose himself and start barking orders to his men .
6646,a few hundred dollars,a hundred dollars,"Using the Nick Galuchi , and later on Robert Edwards , ATM cards , he withdrew a hundred dollars from each account at several ATMs ."
6647,a few hundred dollars,a hundred dollars,"Here is a hundred dollars , and all you have to do is tell your dispatcher that you picked me up and dropped me off at Penn Station ."
6648,a whole four minutes,a four minutes,"I take a four minutes to put my face on , and then run past Aunt Leah ."
6649,a further 4000 people,a 4000 people,"In time , a community grew there too , now numbering 400 people , with a 4000 people visiting annually for retreats and courses ( Figure 8.6 ) ."
6650,a disappointing eleven pounds,a eleven pounds,"Her weight had dropped a eleven pounds , out of the sixty she had gained ."
6651,a few thousand degrees,a thousand degrees,Kali was desperate to take the tension down a thousand degrees .
6652,a few hundred feet,a hundred feet,"The boardwalk did n't reach as far as Pine Beach Road , so they had to drag , push or carry Harry in his stroller through the sand for a hundred feet to get to it ."
6653,a mere four months,a four months,"There was a mirror created a four months prior to the event ! """
6654,a few hundred feet,a hundred feet,"Brian was somewhere behind him , a hundred feet , perhaps ."
6655,a good ten feet,a ten feet,"The fall was a ten feet , maybe more ."
6656,a good twenty feet,a twenty feet,It missed by a twenty feet .
6657,a good fifty feet,a fifty feet,"Aiden yanked the ladder up , the shadow still a fifty feet away ."
6658,a good twenty seconds,a twenty seconds,"He coasted across the finish line , first by a twenty seconds ."
6659,a few hundred years,a hundred years,"The previous dominance was from continental Europe and lasted a hundred years , with successive dominant nations trying to scupper the others , generally successfully ."
6660,a few thousand years,a thousand years,"After all , most of us are mixtures of conqueror and conquered – taking our time from a thousand years ago ."
6661,an additional thirty days,an thirty days,"Belligerent and angry , he had been found in contempt and given an thirty days in prison added to his stiff one year sentence for destruction of government property ."
6662,a few hundred yards,a hundred yards,"Just a hundred yards in , he found that there was a locked gate and knew he was on foot the rest of the way , which was better ."
6663,a good ten years,a ten years,"Both of them were damn fine looking men , probably a ten years younger than her , which meant they were twenty years younger than her so - called husband , and she hoped they could at least make her die happy ."
6664,a good five inches,a five inches,"Michael was a five inches taller than me , so I needed all the help I could get ."
6665,a mere four stories,a four stories,"Only one building did not match the rest , it was shabby , a four stories high , and at least a hundred years old , but the street number over the entrance was that given to him by Mr Codd ."
6666,a magnificent seven feet,a seven feet,"The newcomer reared up to a seven feet or more , and began to slap his chest and roar while everyone else added to the din by howling ."
6667,a mere seventy dinars,a seventy dinars,"However , as beauty rules my heart , instead of the promptings of my poor head I will sell this valuable ring for a seventy dinars ."
6668,a good three years,a three years,She had a three years with him .
6669,a whole five minutes,a five minutes,"But , even if the cars in the above collision had crossed the intersection a five minutes apart the timing for that would have to have been just as precise as it was for the accident ."
6670,a further twenty feet,a twenty feet,"In less than two seconds , it slammed into the larger creature crouched above her brother with such force that both demons flew a twenty feet before landing in the snow , sending sprays of white around them ."
6671,a few hundred yards,a hundred yards,Even his acute vision could not see more than a hundred yards in the near - whiteout conditions .
